danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.668,0.834,11,-4.379,1,0.0314,0.000742,9.57e-06,0.173,0.854,130.321,180211,4
0.369,0.845,0,-3.449,0,0.0611,0.0493,0.0,0.416,0.782,78.532,174068,4
0.366,0.894,11,-4.682,0,0.0568,3.45e-05,0.17,0.267,0.304,82.305,247267,3
0.699,0.76,10,-6.525,1,0.0716,0.0266,0.0,0.182,0.629,126.036,226053,4
0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011,259333,4
0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87,211120,4
0.536,0.694,9,-7.041,1,0.0264,0.0429,0.00268,0.2,0.397,142.07,200840,4
0.72,0.744,1,-6.938,0,0.12,0.237,0.0,0.255,0.619,78.953,243773,4
0.552,0.767,0,-14.412,0,0.0343,0.00909,0.82,0.118,0.617,131.242,361400,4
0.388,0.979,0,-4.389,1,0.176,6.34e-05,0.0567,0.663,0.0547,183.905,223653,4
0.596,0.324,10,-13.817,0,0.0343,0.892,9.7e-05,0.184,0.355,127.956,397987,4
0.538,0.916,4,-4.906,1,0.0318,0.00391,0.00118,0.237,0.892,150.553,159213,4
0.262,0.0868,6,-26.318,0,0.0442,0.995,0.897,0.0794,0.503,68.904,120027,4
0.833,0.199,0,-13.781,1,0.0518,0.941,0.907,0.114,0.831,110.689,168720,4
0.223,0.00266,11,-37.342,1,0.0362,0.992,0.984,0.0759,0.0721,64.528,215000,5
0.279,0.626,11,-7.095,1,0.0342,0.077,0.00394,0.118,0.342,77.513,278107,4
0.566,0.713,6,-4.25,1,0.0418,0.645,0.0,0.114,0.805,169.861,238147,4
0.584,0.7,6,-4.251,1,0.0506,0.512,2.43e-05,0.13,0.549,163.953,234173,4
0.48,0.228,4,-10.833,1,0.0354,0.936,1.11e-05,0.11,0.295,128.035,251240,4
0.272,0.67,7,-15.649,1,0.0836,0.701,0.976,0.0993,0.0397,85.045,306375,3
0.361,0.803,2,-6.353,1,0.0508,0.0183,0.912,0.196,0.475,78.272,282760,4
0.443,0.517,6,-10.019,0,0.0542,0.0372,0.895,0.0702,0.0739,123.978,421935,4
0.519,0.379,0,-9.906,1,0.0279,0.619,1.85e-06,0.108,0.208,85.929,247053,4
0.653,0.351,5,-12.776,1,0.648,0.467,0.0,0.107,0.307,116.6,302191,3
0.561,0.984,2,-2.626,0,0.0636,0.0536,0.0,0.176,0.584,146.036,233967,4
0.509,0.774,6,-4.054,1,0.0338,0.00189,0.000549,0.143,0.0824,116.529,264707,4
0.626,0.405,7,-16.507,0,0.0578,0.917,0.85,0.0839,0.865,92.921,73230,3
0.638,0.686,0,-9.876,1,0.0366,0.314,0.23,0.0678,0.766,126.045,256360,4
0.647,0.465,6,-10.272,0,0.0245,0.258,0.149,0.111,0.243,94.035,222960,4
0.469,0.722,6,-4.806,1,0.0326,0.232,0.0,0.123,0.529,85.984,283000,4
0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,205594,4
0.608,0.738,2,-4.134,0,0.0259,4.77e-05,0.767,0.338,0.586,94.016,250867,4
0.176,0.0534,10,-27.626,1,0.0406,0.97,0.915,0.29,0.0332,71.673,132120,5
0.244,0.645,5,-5.863,1,0.0456,0.00178,0.00574,0.301,0.529,183.577,188307,5
0.663,0.204,6,-9.921,0,0.0358,0.805,1.42e-05,0.0717,0.52,95.963,147200,4
0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,188387,4
0.806,0.615,9,-8.129,0,0.0927,0.152,0.774,0.102,0.499,122.061,442627,3
0.666,0.817,2,-6.072,1,0.0453,0.115,1.18e-05,0.0668,0.826,120.02,221120,4
0.657,0.821,6,-3.388,1,0.0352,0.0838,0.0,0.0457,0.714,130.002,185987,4
0.421,0.659,2,-7.339,1,0.0302,0.125,0.0,0.0857,0.436,90.913,205773,4
0.6,0.535,4,-7.043,1,0.107,0.648,4.7e-06,0.162,0.269,71.912,225133,4
0.526,0.774,5,-1.692,1,0.0459,0.715,0.0,0.437,0.715,131.715,150706,4
0.719,0.631,2,-9.365,0,0.0363,0.0672,0.69,0.17,0.0457,121.99,467660,3
0.473,0.068,0,-20.033,1,0.0315,0.892,0.00216,0.105,0.262,93.777,192421,3
0.755,0.777,0,-4.173,0,0.0364,0.69,0.177,0.172,0.771,110.035,185703,4
0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4
0.433,0.929,5,-4.33,0,0.0817,3.89e-05,0.00031,0.769,0.504,160.048,231588,4
0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,230453,4
0.752,0.921,5,-4.321,0,0.0696,0.0182,0.0,0.256,0.634,115.033,236693,4
0.234,0.877,10,-4.587,1,0.073,5.98e-05,0.0654,0.376,0.533,179.575,409778,4
0.621,0.717,0,-4.161,1,0.0326,0.199,0.0,0.153,0.699,132.815,180627,4
0.559,0.849,3,-4.676,1,0.0454,0.0854,0.0,0.328,0.759,86.978,182827,4
0.585,0.857,5,-4.409,0,0.0393,0.58,0.601,0.215,0.624,118.861,144267,4
0.489,0.896,5,-1.889,0,0.0534,0.979,0.0243,0.131,0.908,81.212,354787,3
0.447,0.966,7,-2.966,1,0.089,0.00349,0.000198,0.312,0.533,178.105,224597,4
0.687,0.537,10,-7.639,1,0.0305,0.561,0.0,0.107,0.264,120.023,257160,4
0.207,0.102,1,-17.365,1,0.0384,0.974,0.542,0.104,0.303,82.319,181200,4
0.514,0.794,1,-9.393,1,0.0409,0.0278,0.000865,0.0682,0.75,100.793,185640,4
0.41,0.421,8,-8.495,1,0.0391,0.361,0.000562,0.807,0.133,76.697,259680,4
0.592,0.979,6,-3.76,0,0.102,0.000126,0.0,0.0819,0.722,102.99,167510,4
0.492,0.26,9,-17.341,0,0.0921,0.646,0.00178,0.0705,0.312,111.519,347227,5
0.569,0.532,7,-5.761,1,0.0322,0.628,0.0,0.117,0.19,133.883,223747,4
0.576,0.64,2,-5.252,1,0.0351,0.0585,0.000156,0.571,0.544,83.996,159412,4
0.538,0.981,1,-2.688,0,0.14,0.00662,0.0,0.219,0.711,101.414,255467,4
0.634,0.69,6,-7.804,1,0.052,0.0771,0.0,0.132,0.645,94.988,253307,4
0.149,0.133,4,-24.015,0,0.0365,0.945,0.347,0.101,0.0821,83.928,233307,3
0.659,0.185,0,-17.58,1,0.0342,0.892,0.887,0.103,0.538,111.976,226880,4
0.815,0.662,6,-8.244,1,0.199,0.0915,0.000409,0.0898,0.611,151.518,248493,4
0.574,0.392,10,-13.092,1,0.056,0.771,0.000356,0.119,0.618,149.137,201057,4
0.633,0.673,6,-6.403,0,0.258,0.297,0.0,0.206,0.659,86.776,211160,4
0.543,0.473,6,-9.638,1,0.157,0.124,4.04e-06,0.0922,0.519,86.534,193750,4
