danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,energy_cat
0.301,0.933,-7.203,0,0.0504,0.262,0.0179,0.374,0.75,163.725,4,blues,5
0.224,0.0146,-31.031,1,0.0342,0.898,7.77e-06,0.174,0.0384,90.886,4,classical,1
0.753,0.657,-3.061,1,0.045,0.173,0.0,0.112,0.435,107.013,4,techno,4
0.542,0.122,-18.411,0,0.0361,0.976,0.856,0.116,0.164,108.286,4,jazz,1
0.163,0.0105,-31.658,1,0.0506,0.948,0.117,0.107,0.0396,88.794,3,classical,1
0.749,0.463,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,4,pop,3
0.734,0.483,-5.498,0,0.0554,0.423,1.03e-05,0.122,0.916,153.144,4,jazz,3
0.699,0.529,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,4,dance,3
0.482,0.822,-7.153,1,0.0589,0.00344,0.013,0.17,0.562,78.98,4,blues,5
0.509,0.781,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,4,dance,4
0.552,0.893,-4.593,1,0.0383,0.0158,0.0,0.105,0.777,163.948,4,country,5
0.365,0.00173,-38.681,1,0.0507,0.995,0.969,0.13,0.625,111.003,3,classical,1
0.737,0.795,-3.3,0,0.0545,0.498,1.19e-06,0.254,0.512,104.066,4,pop,4
0.689,0.723,-4.661,0,0.0459,0.00459,0.212,0.171,0.357,129.991,4,techno,4
0.646,0.813,-5.29,0,0.0288,0.00178,2.26e-05,0.144,0.821,112.115,4,rock,5
0.349,0.119,-21.166,1,0.0403,0.966,0.0959,0.109,0.26,113.048,3,classical,1
0.382,0.958,-2.602,1,0.0574,1.83e-05,0.295,0.363,0.306,134.896,4,pop,5
0.594,0.304,-15.353,0,0.029,0.947,0.219,0.0933,0.13,79.994,4,jazz,2
0.288,0.0787,-14.932,0,0.0343,0.946,0.936,0.114,0.13,106.379,4,jazz,1
0.603,0.859,-9.243,1,0.0949,0.00107,0.00132,0.263,0.191,129.837,4,pop,5
0.788,0.753,-3.71,1,0.0536,0.0038,0.0,0.18,0.403,125.005,4,dance,4
0.39,0.332,-11.375,1,0.0274,0.203,0.000163,0.408,0.176,102.767,4,acoustic,2
0.65,0.663,-10.053,0,0.0971,0.49,0.000165,0.219,0.543,138.016,4,rock,4
0.631,0.953,-3.739,1,0.0343,0.0241,0.0155,0.108,0.422,141.99,4,dance,5
0.6,0.186,-15.926,1,0.0317,0.909,0.00102,0.104,0.468,110.044,4,pop,1
0.39,0.0346,-30.959,1,0.0448,0.994,0.938,0.116,0.223,122.709,4,classical,1
0.436,0.358,-12.147,0,0.283,0.85,0.0597,0.19,0.333,82.135,4,jazz,2
0.759,0.52,-15.207,1,0.251,0.777,0.937,0.197,0.376,149.097,4,jazz,3
0.449,0.399,-8.698,1,0.0295,0.747,0.0,0.122,0.613,81.625,4,acoustic,2
0.687,0.761,-4.582,0,0.0876,0.102,0.0,0.147,0.743,113.939,4,dance,4
0.379,0.905,-6.466,1,0.0947,0.12,5.27e-05,0.187,0.38,82.253,1,acoustic,5
0.375,0.246,-14.577,0,0.0348,0.836,0.000166,0.0429,0.252,72.422,4,blues,2
0.607,0.852,-5.106,0,0.0347,0.0169,0.603,0.364,0.718,127.996,4,techno,5
0.614,0.574,-7.961,1,0.466,0.0253,3.2e-05,0.38,0.755,125.173,5,pop,3
0.488,0.936,-3.431,1,0.0699,0.000435,1e-05,0.106,0.398,95.009,4,metal,5
0.311,0.413,-13.636,1,0.0328,0.798,0.613,0.924,0.251,109.807,4,blues,3
0.371,0.00593,-32.075,1,0.0469,0.993,0.911,0.0699,0.0384,135.297,3,classical,1
0.339,0.639,-5.162,1,0.0313,0.0679,0.0,0.291,0.565,83.132,4,acoustic,4
0.334,0.381,-10.121,1,0.0317,0.74,3.63e-06,0.133,0.191,107.156,3,jazz,2
0.137,0.0326,-29.102,0,0.0379,0.928,0.916,0.162,0.0755,82.805,4,classical,1
0.466,0.786,-5.13,1,0.0328,0.417,6.1e-05,0.125,0.571,203.903,4,country,4
0.273,0.353,-9.647,1,0.0302,0.795,0.0221,0.112,0.115,138.744,4,classical,2
0.689,0.781,-5.988,1,0.0271,0.042,7.96e-06,0.0857,0.777,131.779,4,country,4
0.478,0.0832,-14.68,0,0.0373,0.858,0.0596,0.0781,0.0836,133.071,3,jazz,1
0.755,0.578,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,4,dance,3
0.362,0.502,-11.68,1,0.033,0.0276,0.00223,0.737,0.0454,131.095,4,rock,3
0.543,0.327,-6.813,1,0.0368,0.785,0.0,0.0888,0.249,135.257,3,acoustic,2
0.417,0.556,-11.311,1,0.0312,0.0504,0.0175,0.197,0.481,110.622,4,blues,3
0.791,0.713,-3.742,0,0.254,0.0163,0.0,0.189,0.514,130.012,4,pop,4
0.591,0.453,-12.152,1,0.0383,0.0167,0.204,0.216,0.415,74.732,4,jazz,3
0.716,0.774,-7.471,1,0.0361,0.389,0.123,0.219,0.784,110.359,4,blues,4
0.621,0.487,-8.416,1,0.0332,0.182,3.68e-06,0.12,0.38,82.602,4,acoustic,3
0.467,0.907,-8.775,0,0.0866,0.0229,0.227,0.0682,0.299,121.95,4,pop,5
0.382,0.29,-14.262,0,0.0323,0.15,0.0703,0.093,0.192,111.09,4,rock,2
0.541,0.677,-6.211,1,0.0271,0.0244,0.0,0.0854,0.237,131.922,4,metal,4
0.464,0.877,-3.793,1,0.0499,0.192,0.0,0.1,0.512,176.662,4,acoustic,5
0.294,0.611,-6.268,1,0.0348,0.0226,0.435,0.114,0.567,178.191,3,blues,4
0.527,0.308,-11.809,1,0.0284,0.551,4.25e-05,0.0921,0.514,136.297,4,blues,2
0.42,0.612,-5.359,1,0.048,0.0917,0.0,0.0914,0.135,159.685,4,rock,4
0.611,0.797,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4,rock,4
0.366,0.037,-24.291,1,0.0385,0.992,0.914,0.118,0.165,63.134,4,classical,1
0.442,0.075,-17.055,1,0.0451,0.654,0.133,0.367,0.0467,95.149,4,jazz,1
0.418,0.828,-4.132,0,0.0475,0.136,0.0,0.336,0.448,124.783,4,rock,5
0.56,0.681,-8.358,1,0.0328,0.126,0.000889,0.0506,0.901,83.91,4,acoustic,4
0.723,0.0811,-14.113,1,0.0631,0.779,0.0,0.509,0.36,88.044,4,jazz,1
