danceability,key,mode,speechiness,liveness,tempo,time_signature,genre
0.458,0,1,0.0574,0.0756,123.229,4,rock
0.579,1,0,0.0693,0.115,152.002,4,rock
0.459,2,1,0.0364,0.206,155.827,4,rock
0.537,9,1,0.0363,0.0998,124.269,4,rock
0.729,3,1,0.0264,0.295,123.867,4,rock
0.855,2,1,0.0514,0.36,121.472,4,rock
0.468,4,1,0.041,0.271,104.102,4,rock
0.52,0,1,0.0348,0.364,136.028,4,rock
0.728,4,1,0.0368,0.109,113.76,4,rock
0.41,0,1,0.0302,0.117,138.852,4,rock
0.609,9,1,0.0338,0.295,115.996,4,rock
0.522,1,1,0.0297,0.0964,82.85,4,rock
0.56,11,1,0.0754,0.291,143.821,4,rock
0.599,11,1,0.188,0.155,103.68,4,rock
0.652,5,0,0.034,0.357,128.822,4,rock
0.736,9,0,0.081,0.107,103.502,4,rock
0.328,6,1,0.0362,0.0818,106.606,4,rock
0.303,6,1,0.0301,0.123,84.167,4,rock
0.625,4,1,0.0495,0.174,94.661,4,rock
0.541,2,1,0.0298,0.178,98.986,4,rock
0.426,2,1,0.0701,0.0789,127.059,4,rock
0.622,7,1,0.0276,0.193,112.053,4,rock
0.636,3,0,0.0306,0.0642,93.896,4,rock
0.722,1,0,0.0415,0.0694,79.981,4,rock
0.557,0,1,0.0493,0.287,149.887,4,rock
0.698,7,0,0.0833,0.0758,99.748,4,rock
0.547,0,1,0.0429,0.091,153.974,4,rock
0.553,1,1,0.0374,0.0988,106.927,4,rock
0.777,2,1,0.126,0.0348,97.911,4,rock
0.47,7,1,0.0727,0.356,117.906,4,rock
0.68,0,1,0.0247,0.378,93.865,4,rock
0.412,4,1,0.529,0.108,191.476,4,rock
0.609,9,1,0.0338,0.295,115.996,4,rock
0.503,0,1,0.0743,0.744,91.464,4,rock
0.582,9,1,0.0376,0.344,128.164,4,rock
0.725,1,0,0.0427,0.0665,79.984,4,rock
0.831,0,0,0.0384,0.123,122.979,4,rock
0.504,0,1,0.183,0.0613,96.682,4,rock
0.458,3,0,0.0486,0.313,99.093,4,rock
0.687,2,1,0.0423,0.0924,131.704,4,rock
0.61,9,1,0.0279,0.0884,85.031,4,rock
