danceability,key,mode,speechiness,liveness,tempo,time_signature
0.62,1,1,0.0374,0.0686,106.22,4
0.427,5,0,0.0457,0.0908,135.54,4
0.56,11,1,0.0379,0.161,94.931,4
0.255,4,1,0.0585,0.109,142.695,3
0.425,2,1,0.046,0.052,103.781,4
0.536,0,1,0.0317,0.217,135.844,4
0.597,2,0,0.0285,0.0997,142.133,4
0.552,2,1,0.0373,0.148,107.746,4
0.601,0,0,0.0414,0.0678,141.762,4
0.802,1,1,0.0517,0.0856,128.125,4
0.455,10,0,0.0651,0.574,128.266,4
0.338,2,1,0.0406,0.345,94.912,4
0.628,6,0,0.105,0.0907,89.976,4
0.729,0,1,0.0843,0.252,123.858,4
0.168,9,1,0.0443,0.176,78.461,4
0.52,2,0,0.145,0.325,120.883,4
0.501,2,1,0.0302,0.083,80.039,4
0.655,6,1,0.279,0.458,99.981,4
0.612,0,0,0.0419,0.26,130.045,4
0.448,0,1,0.0749,0.0884,184.076,4
0.516,7,1,0.0332,0.122,77.878,4
0.659,11,0,0.0362,0.0829,125.556,4
0.615,11,0,0.0373,0.215,117.982,4
0.0621,9,1,0.046,0.0884,70.364,4
0.278,11,1,0.129,0.104,104.803,4
